year,month,newReleases
1998,11,118
1999,4,118
1999,11,118
2000,11,236
2001,6,236
2002,8,118
2003,5,118
2004,3,118
2004,11,236
2006,5,118
2006,10,354
2006,12,236
2007,3,118
2007,8,590
2007,10,472
2007,11,118
2008,1,354
2008,4,590
2008,5,354
2008,6,118
2008,7,236
2008,9,354
2008,10,472
2008,11,590
2008,12,354
2009,1,236
2009,2,236
2009,3,118
2009,6,236
2009,7,472
2009,8,118
2009,10,67
2009,11,236
2009,12,118
2010,2,118
2010,3,118
2010,4,118
2010,6,236
2010,7,118
2010,10,472
2010,11,236
2011,1,354
2011,3,354
2011,4,118
2011,5,118
2011,6,236
2011,8,118
2011,10,118
2011,11,236
2011,12,118
2012,2,118
2012,3,236
2012,4,118
2012,5,118
2012,6,118
2012,7,236
2012,9,236
2012,10,354
2012,11,118
2012,12,118
2013,3,236
2013,4,236
2013,5,236
2013,7,118
2013,8,354
2013,9,118
2013,11,190
2014,1,118
2014,2,236
2014,3,236
2014,4,118
2014,5,236
2014,9,118
2014,10,236
2014,11,354
2015,1,118
2015,2,117
2015,3,232
2015,4,690
2015,5,228
2015,6,113
2015,8,111
2015,9,110
2015,11,216
2015,12,214
2016,1,106
2016,2,210
2016,3,104
2016,4,206
2016,5,102
2016,7,100
2016,9,294
2016,10,97
2016,11,288
2016,12,285
2017,1,94
2017,2,93
2017,3,92
2017,4,91
2017,5,299
2017,7,91
2017,9,172
2017,10,255
2017,11,168
2017,12,581
2018,1,82
2018,2,81
2018,3,160
2018,4,79
2018,5,78
2018,6,225
2018,8,75
2018,9,74
2018,10,146
2018,11,72
2019,1,140
2019,2,69
2019,3,68
2019,4,134
2019,5,66
2019,7,128
2019,9,186
2019,10,61
2019,11,60
2019,12,118
2020,3,454
2020,5,205
2020,6,1325
2020,8,125
2020,9,50
2020,10,200
2020,11,48
2020,12,94
2021,3,88
2021,5,168
2021,8,39
2021,9,190
2021,10,37
2021,11,108
2021,12,35
2022,1,68
2022,2,66
2022,3,32
2022,4,93
2022,5,30
2022,6,87
2022,7,28
2022,8,81
2022,9,78
2022,10,115
2022,11,24
2022,12,90
2023,1,198
2023,2,63
2023,3,100
2023,4,76
2023,5,36
2023,6,159
2023,7,16
2023,8,30
2023,9,28
2023,10,13
2023,11,24
2024,1,10
2024,2,44
2024,3,32
2024,4,7
2024,5,18
2024,6,15
2024,7,4
2024,8,12
2024,9,10
2024,10,3
